,3d%,3d%_allowed,TOP,date,first_downs,first_downs_allowed,margin,opp,pass_yards,pass_yards_allowed,penalty_yards,plays,points,points_allowed,result,rush_yards,rush_yards_allowed,sacked,sacks,takeaways,team,total_points,total_yards,total_yards_allowed,turnovers
0,0.36363636363636365,0.3333333333333333,30.233333333333334,09/07/2017,26,25,15,New EnglandNE,352,247,139,65,42,27,Win,185,124,3,3,0,Kansas CityKC,69,537,371,1
1,0.3333333333333333,0.36363636363636365,29.766666666666666,09/07/2017,25,26,-15,Kansas CityKC,247,352,55,74,27,42,Loss,124,185,3,3,1,New EnglandNE,69,371,537,0
2,0.4,0.5,26.666666666666668,09/10/2017,24,19,-12,DetroitDet,263,285,55,67,23,35,Loss,45,82,1,1,1,ArizonaAri,58,308,367,4
3,0.5,0.4,33.333333333333336,09/10/2017,19,24,12,ArizonaAri,285,263,100,69,35,23,Win,82,45,1,1,4,DetroitDet,58,367,308,1
4,0.45454545454545453,0.38461538461538464,30.566666666666666,09/10/2017,18,20,6,ChicagoChi,308,176,73,55,23,17,Win,64,125,2,4,0,AtlantaAtl,40,372,301,0
5,0.38461538461538464,0.45454545454545453,29.433333333333334,09/10/2017,20,18,-6,AtlantaAtl,176,308,40,63,17,23,Loss,125,64,4,2,0,ChicagoChi,40,301,372,0
6,0.42857142857142855,0.3076923076923077,34.0,09/10/2017,17,14,20,CincinnatiCin,111,144,85,60,20,0,Win,157,77,1,5,5,BaltimoreBal,20,268,221,1
7,0.3076923076923077,0.42857142857142855,26.0,09/10/2017,14,17,-20,BaltimoreBal,144,111,66,58,0,20,Loss,77,157,5,1,1,CincinnatiCin,20,221,268,5
8,0.2857142857142857,0.47058823529411764,26.933333333333334,09/10/2017,11,23,-9,BuffaloBuf,176,218,62,55,12,21,Loss,38,190,1,2,1,NY JetsNYJ,33,214,408,2
9,0.47058823529411764,0.2857142857142857,33.06666666666667,09/10/2017,23,11,9,NY JetsNYJ,218,176,50,72,21,12,Win,190,38,2,1,2,BuffaloBuf,33,408,214,1
10,0.38461538461538464,0.25,28.833333333333332,09/10/2017,16,20,3,ClevelandCle,255,180,143,54,21,18,Win,35,57,1,7,1,PittsburghPit,39,290,237,1
11,0.25,0.38461538461538464,31.166666666666668,09/10/2017,20,16,-3,PittsburghPit,180,255,61,62,18,21,Loss,57,35,7,1,1,ClevelandCle,39,237,290,1
12,0.25,0.4166666666666667,30.083333333333332,09/10/2017,19,23,22,HoustonHou,125,110,89,60,29,7,Win,155,93,0,10,4,JacksonvilleJax,36,280,203,0
13,0.4166666666666667,0.25,29.916666666666668,09/10/2017,23,19,-22,JacksonvilleJax,110,125,94,69,7,29,Loss,93,155,10,0,0,HoustonHou,36,203,280,4
14,0.4166666666666667,0.5,31.65,09/10/2017,22,21,10,TennesseeTen,250,255,49,63,26,16,Win,109,95,2,1,0,OaklandOak,42,359,350,0
15,0.5,0.4166666666666667,28.35,09/10/2017,21,22,-10,OaklandOak,255,250,49,63,16,26,Loss,95,109,1,2,0,TennesseeTen,42,350,359,0
16,0.5714285714285714,0.2727272727272727,34.266666666666666,09/10/2017,19,16,13,WashingtonWas,298,200,76,65,30,17,Win,58,64,2,4,4,PhiladelphiaPhi,47,356,264,2
17,0.2727272727272727,0.5714285714285714,25.733333333333334,09/10/2017,16,19,-13,PhiladelphiaPhi,200,298,15,61,17,30,Loss,64,58,4,2,2,WashingtonWas,47,264,356,4
18,0.0,0.35714285714285715,25.583333333333332,09/10/2017,10,19,-37,LA RamsLA,150,310,20,49,9,46,Loss,75,63,4,1,1,IndianapolisInd,55,225,373,3
19,0.35714285714285715,0.0,34.416666666666664,09/10/2017,19,10,37,IndianapolisInd,310,150,50,64,46,9,Win,63,75,1,4,3,LA RamsLA,55,373,225,1
20,0.5384615384615384,0.18181818181818182,34.35,09/10/2017,20,13,20,San FranciscoSF,171,166,40,63,23,3,Win,116,51,0,4,2,CarolinaCar,26,287,217,2
21,0.18181818181818182,0.5384615384615384,25.65,09/10/2017,13,20,-20,CarolinaCar,166,171,74,54,3,23,Loss,51,116,4,0,2,San FranciscoSF,26,217,287,2
22,0.25,0.5625,20.783333333333335,09/10/2017,12,26,-8,Green BayGB,135,286,50,48,9,17,Loss,90,84,3,4,1,SeattleSea,26,225,370,1
23,0.5625,0.25,39.21666666666667,09/10/2017,26,12,8,SeattleSea,286,135,70,74,17,9,Win,84,90,4,3,1,Green BayGB,26,370,225,1
24,0.3333333333333333,0.5333333333333333,25.766666666666666,09/10/2017,13,22,-16,DallasDal,198,263,55,53,3,19,Loss,35,129,3,1,0,NY GiantsNYG,22,233,392,1
25,0.5333333333333333,0.3333333333333333,34.233333333333334,09/10/2017,22,13,16,NY GiantsNYG,263,198,50,71,19,3,Win,129,35,1,3,1,DallasDal,22,392,233,0
26,0.36363636363636365,0.6428571428571429,28.733333333333334,09/11/2017,19,23,-10,MinnesotaMin,284,341,52,59,19,29,Loss,60,129,1,1,0,New OrleansNO,48,344,470,0
27,0.6428571428571429,0.36363636363636365,31.266666666666666,09/11/2017,23,19,10,New OrleansNO,341,284,50,63,29,19,Win,129,60,1,1,0,MinnesotaMin,48,470,344,0
28,0.25,0.5333333333333333,25.783333333333335,09/11/2017,17,22,-3,DenverDen,185,181,40,56,21,24,Loss,64,140,1,4,2,LA ChargersLAC,45,249,321,1
29,0.5333333333333333,0.25,34.21666666666667,09/11/2017,22,17,3,LA ChargersLAC,181,185,62,68,24,21,Win,140,64,4,1,1,DenverDen,45,321,249,2
30,0.26666666666666666,0.26666666666666666,32.25,09/14/2017,14,12,4,CincinnatiCin,98,213,61,62,13,9,Win,168,82,3,3,1,HoustonHou,22,266,295,0
31,0.26666666666666666,0.26666666666666666,27.75,09/14/2017,12,14,-4,HoustonHou,213,98,45,62,9,13,Loss,82,168,3,3,0,CincinnatiCin,22,295,266,1
32,0.4,0.4444444444444444,28.816666666666666,09/17/2017,17,18,3,IndianapolisInd,306,190,41,65,3,0,Win,83,76,4,4,1,ArizonaAri,3,389,266,1
33,0.4444444444444444,0.4,33.15,09/17/2017,18,17,-3,ArizonaAri,190,306,70,70,0,3,Loss,76,83,4,4,1,IndianapolisInd,3,266,389,1
